10,"НГТУ им Алексеева
+7(8313) 34-47-30
математика русский и физика нужно сдаватьв вузе
97210 стоимость обучения за год
оригинал и копия диплома для поступления
В июле с 18 по 23 июля вступительные экзамены
центральный вход гайдара 49  для того чтобы отдать документы

Вступительные
https://www.nntu.ru/frontend/web/ngtu/files/abiturientam/2026/Perechen_vstupitelnih_ispitaniy_na_baze_SPO_i_VO_pri_prieme_na_kommercheskuyu_formu_obucheniya.pdf?2026-04-09

Информация по вступительным
https://www.nntu.ru/content/abiturientam/vstupitelnye-ispytaniya

Доверяю DeepSeek план составлен был здесь:
https://chat.deepseek.com/a/chat/s/200a40a1-c639-41c1-84d6-8d9c875e0300

Решил что слишком много времени и сил уйдет на это плюс деньги. Лучше потратить это время на улучшение скилов.",,Поступление в ВУЗ,2026-05-31,,false
8,"Просто хочу научиться играть на пианино для души, что-то типо хобби",,Пиано,2026-05-25,,false
6,"Тут я хочу дойти до моей физической мечты это:
- 20 подтягиваний
- 30 отжиманий на брусьях
- 40 отжиманий от пола

Это делаю чисто в спокойном темпе. Стараюсь всегда делать на технику, с перерывом между повторениями где-то около секунды чтобы не задыхаться. Главное техника, не прыгать за количеством ради цифр.

Пробую по этой схеме https://chat.deepseek.com/a/chat/s/a23c39bd-6e16-4983-b8c9-5ba8cf163345

1. Подтягивания средним хватом
3 подхода × 6 повторений
Отдых 2 минуты

2. Брусья
3 подхода × 12 повторений
Отдых 90 секунд

3. Один вид на выбор (чередуйте по тренировкам)
Широкий хват: 2×5

Обратный узкий: 2×6

Австралийские: 2×8

Отдых 90 секунд

4. Дома (2–3 минуты)
Отжимания
2 подхода × 20 раз
Отдых 60 секунд",,Спортивные нормативы,2026-05-25,,false
11,,,Общее и бытовуха,2026-06-23,,false
9,Посмотрел видос про чтение видосов и в комментариях написали про то что нужно научиться пересказывать их.,,Развитие речи,2026-05-30,,false
7,"Добавляю не знакомые слова в анки
Смотрю сериал EXTRA сначала с субтитрами, следующий день без субтитров
На грамматику делаю любое упражнение из этого списка https://www.perfect-english-grammar.com/grammar-exercises.html
Выписываю любые 5 предложение в блокнот
Разговариваю с GPT 10 минут.

Так иду неделю дальше обновляем по необходимости начала 04.06.2026


Проверка прогресса https://www.efset.org/ 50 минут
Reading Score
44
B1 Intermediate

Listening Score
37
A2 Elementary",,Английский,2026-05-25,,false
5,"Сайты для поиска работы 
https://career.habr.com/vacancies?q=java&type=all
https://getmatch.ru/vacancies
https://talanto.work/",,Найти работу в IT,2026-05-25,,false
2,"Создаю масштабируемое десктопное/веб-приложение для автоматизации личной рутины. Архитектура строится вокруг модульного ядра: главная страница — это коллекция виджетов/разделов, где каждый модуль решает конкретную прикладную задачу (от заметок до API-запросов). Проект находится в постоянной эволюции («бесконечный путь»), что позволяет мне изучать новые паттерны на реальных задачах.
GitHub: https://github.com/Roflex24/Useful",Готовое приложение,Java-приложение,2026-05-23,,false
