66,7,511160.05,Ак Барс,[],,2026-07-01 07:01:00.098437,SYSTEM_SCHEDULER,2026-06-30,511160.05,INVESTMENT,,"[{""id"":2,""securityType"":""STOCK"",""ticker"":""Аэрофлот"",""quantity"":560.00,""currentPrice"":39.63,""faceValue"":null,""couponRate"":null,""maturityDate"":null},{""id"":3,""securityType"":""STOCK"",""ticker"":""ВТБ"",""quantity"":20.00,""currentPrice"":71.80,""faceValue"":null,""couponRate"":null,""maturityDate"":null},{""id"":4,""securityType"":""STOCK"",""ticker"":""Магнит"",""quantity"":1.00,""currentPrice"":1866.00,""faceValue"":null,""couponRate"":null,""maturityDate"":null},{""id"":5,""securityType"":""STOCK"",""ticker"":""МТС"",""quantity"":80.00,""currentPrice"":215.85,""faceValue"":null,""couponRate"":null,""maturityDate"":null},{""id"":6,""securityType"":""STOCK"",""ticker"":""Сбербанк"",""quantity"":30.00,""currentPrice"":302.24,""faceValue"":null,""couponRate"":null,""maturityDate"":null},{""id"":7,""securityType"":""STOCK"",""ticker"":""Сбербанк-п"",""quantity"":30.00,""currentPrice"":302.01,""faceValue"":null,""couponRate"":null,""maturityDate"":null},{""id"":8,""securityType"":""STOCK"",""ticker"":""Т-Техно"",""quantity"":50.00,""currentPrice"":271.32,""faceValue"":null,""couponRate"":null,""maturityDate"":null},{""id"":9,""securityType"":""BOND"",""ticker"":""ОФЗ 26222"",""quantity"":250.00,""currentPrice"":1002.18,""faceValue"":null,""couponRate"":null,""maturityDate"":null},{""id"":10,""securityType"":""BOND"",""ticker"":""ОФЗ 29016"",""quantity"":100.00,""currentPrice"":1002.15,""faceValue"":null,""couponRate"":null,""maturityDate"":null},{""id"":11,""securityType"":""CURRENCY_METAL"",""ticker"":""Рубль"",""quantity"":85943.75,""currentPrice"":1.00,""faceValue"":null,""couponRate"":null,""maturityDate"":null}]"
73,7,512949.25,Ак Барс,[],,2026-08-01 13:51:00.206274,SYSTEM_SCHEDULER,2026-07-31,512949.25,INVESTMENT,,"[{""id"":11,""securityType"":""CURRENCY_METAL"",""ticker"":""Рубль"",""quantity"":85943.75,""currentPrice"":1.00,""faceValue"":null,""couponRate"":null,""maturityDate"":null},{""id"":2,""securityType"":""STOCK"",""ticker"":""Аэрофлот"",""quantity"":560.00,""currentPrice"":39.60,""faceValue"":null,""couponRate"":null,""maturityDate"":null},{""id"":3,""securityType"":""STOCK"",""ticker"":""ВТБ"",""quantity"":20.00,""currentPrice"":73.94,""faceValue"":null,""couponRate"":null,""maturityDate"":null},{""id"":4,""securityType"":""STOCK"",""ticker"":""Магнит"",""quantity"":1.00,""currentPrice"":1920.00,""faceValue"":null,""couponRate"":null,""maturityDate"":null},{""id"":5,""securityType"":""STOCK"",""ticker"":""МТС"",""quantity"":80.00,""currentPrice"":219.05,""faceValue"":null,""couponRate"":null,""maturityDate"":null},{""id"":6,""securityType"":""STOCK"",""ticker"":""Сбербанк"",""quantity"":30.00,""currentPrice"":308.32,""faceValue"":null,""couponRate"":null,""maturityDate"":null},{""id"":7,""securityType"":""STOCK"",""ticker"":""Сбербанк-п"",""quantity"":30.00,""currentPrice"":308.72,""faceValue"":null,""couponRate"":null,""maturityDate"":null},{""id"":8,""securityType"":""STOCK"",""ticker"":""Т-Техно"",""quantity"":50.00,""currentPrice"":272.00,""faceValue"":null,""couponRate"":null,""maturityDate"":null},{""id"":9,""securityType"":""BOND"",""ticker"":""ОФЗ 26222"",""quantity"":250.00,""currentPrice"":1005.21,""faceValue"":null,""couponRate"":null,""maturityDate"":null},{""id"":10,""securityType"":""BOND"",""ticker"":""ОФЗ 29016"",""quantity"":100.00,""currentPrice"":1004.93,""faceValue"":null,""couponRate"":null,""maturityDate"":null}]"
76,15,6336048.00,Ozon Банк,[],Проценты каждый месяц,2026-08-01 13:51:00.222985,SYSTEM_SCHEDULER,2026-07-31,11480732.00,SAVINGS,"{""id"":6,""endDate"":null,""interestPaymentDate"":[2026,7,14],""interestRate"":12.50}",
77,16,5143722.00,Ozon Банк,[],Выплаты каждый день,2026-08-01 13:51:00.222985,SYSTEM_SCHEDULER,2026-07-31,11480732.00,SAVINGS,"{""id"":7,""endDate"":null,""interestPaymentDate"":[2026,7,14],""interestRate"":11.70}",
30,8,0.00,Альфа-Банк,[],Заблокировано: 30 018 ₽,,MANUAL_IMPORT,2026-02-28,0.00,INVESTMENT,,
25,4,0.00,Альфа-Банк,"[{""id"": null, ""category"": ""Медицинские услуги"", ""percentage"": 5.0}, {""id"": null, ""category"": ""Автоуслуги"", ""percentage"": 5.0}, {""id"": null, ""category"": ""Животные"", ""percentage"": 4.0}, {""id"": null, ""category"": ""Все покупки"", ""percentage"": 1.0}]",,,MANUAL_IMPORT,2026-02-28,0.00,CARD,,
4,5,0.00,Тинькофф,"[{""id"": null, ""category"": ""Все покупки"", ""percentage"": 1.0}, {""id"": null, ""category"": ""Одежда и обувь"", ""percentage"": 5.0}, {""id"": null, ""category"": ""Музыка"", ""percentage"": 5.0}, {""id"": null, ""category"": ""Развлечения"", ""percentage"": 5.0}]",,,MANUAL_IMPORT,2025-12-31,162780.00,CARD,,
32,10,0.00,БКС,[],"Заблокировано: 246 925 ₽, участвую в обмене на акции сбера",,MANUAL_IMPORT,2026-02-28,0.00,INVESTMENT,,
24,2,0.00,ВТБ,"[{""id"": null, ""category"": ""Кафе и рестораны"", ""percentage"": 5.0}, {""id"": null, ""category"": ""Книги и канцтовары"", ""percentage"": 15.0}, {""id"": null, ""category"": ""Образование"", ""percentage"": 6.0}]",,,MANUAL_IMPORT,2026-02-28,0.00,CARD,,
2,2,0.00,ВТБ,"[{""id"": null, ""category"": ""Электроника"", ""percentage"": 15.0}, {""id"": null, ""category"": ""Супермаркеты"", ""percentage"": 100.0}, {""id"": null, ""category"": ""Все покупки"", ""percentage"": 2.0}]",Нужно восстановить доступ к карте,,MANUAL_IMPORT,2025-12-31,0.00,CARD,,
